DimItemDWK,ItemID,ItemName,ItemDescription,SKU,ItemType,ItemCost,ItemPrice,IsCurrent,DeletedRecordFlag,DWStartDate,DWEndDate
14,-1416,CA_KERN CO,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
15,-1417,CA_KINGS CO,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
16,-1418,CA_LAKE CO,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
27,-1025,ND_HARWOOD,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
71,-2479,IL_SCOTT CO,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
72,-2480,IL_SHELBY CO,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
74,-2482,IL_GREENE CO,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
109,-2182,IL_GURNEE,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
111,-2184,IL_LONG GROVE RTE 83 BD,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
136,-340,AR_LEWISVILLE,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
142,-983,ND_BEULAH,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
169,-381,AR_MALVERN,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
202,-989,ND_MUNICH,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
203,-990,ND_HALLIDAY,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
208,-370,AR_FRANKLIN,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
209,-1421,CA_MADERA CO,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
210,-1422,CA_MARIN CO,,,Sales Tax Item,,1,1,0,"Friday, December 10, 2021","Friday, December 31, 9999"
